"Tweet_ID","Root_Tweet_ID","Teks_Root","Teks_Komentar","Kategori_Utama","Subkategori_Primer","Kategori_Sekunder","Annotation_Status","Annotator_1","Annotator_2","Adjudicated_Label","Label_Guide_Version"
"1798170403862651319","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Setiap program pemerintah yg diucapkan terus menerus di ujung pelaksanaan pasti ada oligar yg diuntungkan. Bahkan ada program yg idenya dari para oligar ...
Dlm konsep negara kapitalis ... para pemilik modal/oligar selalu dilindungi oleh penguasa ...
https://t.co/xd5jhCflDS","","","","","","","",""
"1798153755961299068","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Sri mulyani keliatan aslinya.. pemain jg ini org","","","","","","","",""
"1798198824856637701","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco @prabowo berani gak terapkan pengelolaan sumberdaya alam Indonesia yg melimpah ruah luar biasa sungguh2 berdasarkan pasal 33 UUD 45 lalu rezeki SDA kasih jadi tunjangan  tunai rutin kpd seluruh WNI dari bayi sampai lansia maka saya beli masyarakat tinggi ekonomi bergerak kencang.","","","","","","","",""
"1798172578840031258","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Kenapa ga fokus ke pendidikan untuk perbaikan SDM.","","","","","","","",""
"1798235849110528260","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco ayo bu.. bikin pajak baru lg dong! msh bnyk yg bs digali lo dr masyarakat kita!!","","","","","","","",""
"1798157992237711856","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Dukung aja...
Bentar lagi juga logout 🥱","","","","","","","",""
"1798321604281405517","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Wes iyo ndang kerjakno.. Ajur ben tambah ajur!!","","","","","","","",""
"1798152400760619332","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Yes makanan bergizi &amp; haram dari tax payers duit dari keringat rakyat yg kau peras bagus untuk otak para bajingan koruptor di kabinet maju biar tidak tolol","","","","","","","",""
"1798357799434588491","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Kenapa ga buka lapangan kerja baru dan menaikkan gaji para ayah agar bisa memberikan anak anak mereka makanan bergizi. Lebih tepat sasaran bukan?","","","","","","","",""
"1798308734797824035","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Pasa dicekokin jamu apa sih ya, orang pinter pada keblinger begini","","","","","","","",""
"1798387458461385164","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Agak laen memang jeng sri ini","","","","","","","",""
"1798377651205460343","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Dia ikutan tolol🤣","","","","","","","",""
"1798190716709212616","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Tak ada dukungan yg gratis...time will tell....","","","","","","","",""
"1798342402803196218","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Katanya minus 600t bu...","","","","","","","",""
"1798348416432706029","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Sekolah di USA. Lulus, lalu...

Mentoknya disitu ???","","","","","","","",""
"1798330827748815272","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Makanan bergizi itu makanan yg halal, bukan hasil korupsi atau dari hasil perah uang rakyat","","","","","","","",""
"1798279932587766199","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Memperbaiki sumber daya manusia itu dari itu ibu sri. Sehat nya manusia itu trutama dari pikiran kalo pikiran nya buntu ga cerdas lumpuh ibu. Biar daya tubuh sehat sehatkan akal nya","","","","","","","",""
"1798314033369825527","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Kira2 punya dosa besar apa sampe bgini?","","","","","","","",""
"1798164571532009563","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Program nyeleneh Minum susu &amp;makan siang gratis Jd makan bergizi diubah lah Jd sarapan bergizi lama2 gratis sarapan angin sorga😁😁😁

Ngomong Gampang Bu Mentri ..
Anggaran +/- 400 T dr mana duitnya ???
-Pakai/putar uang Simpanan rakyat..
-Tambah Hutang LN +/- 25 M U$ itu .. https://t.co/EKOusk6URq","","","","","","","",""
"1798197343457812982","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Asik jadi menkeu lagi","","","","","","","",""
"1798353609639555139","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Kami hanya ingin stabilkan perekomian negara,hapuskan kebijakan2 yg katanya menurut anda2 itu baik tp mlh merugikan dan memiskinkan rakyat!!!!bisa disanggupi tdk ya?","","","","","","","",""
"1798202863904284780","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Weits jd menkeu lg sepertinya","","","","","","","",""
"1798197623335301613","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Nah kena sandera juga rupanya ibu ini...😂","","","","","","","",""
"1798190298281206252","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Srii srii .. sdahlah koe sama aja payah","","","","","","","",""
"1798192845633060884","1798144099419406550","Sri Mulyani Dukung Program Makan Bergizi Gratis Prabowo: Untuk Perbaikan Sumber Daya Manusia https://t.co/3Rx5ibLX6o #TempoBisnis","@tempodotco Politik tuh bener-bener dinamis ya.","","","","","","","",""
"1798378747479167245","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Ngomong gini supaya dapat jatah Menkeu lagi di pemerintahan Prabowo","","","","","","","",""
"1798549260201570703","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco 🤣🤣🤣 dia masih mau menjabat ...,apapun program y presiden terpilih Harus d dukung walaupun pahit . ,nama y juga jilat...😂😂","","","","","","","",""
"1798502189159346297","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Kalo ujung2nya kantong pemerintah kering...bangkrut malah bisa..
Kek bumn2 karya, infrastruktur kenceng, kok ya malah pd kolaps...diawal ngomongnya jg yg endah2..endingnya amburadul.
Bijak2lah pake anggaran, mana duit kt tipis, hutang melimpah","","","","","","","",""
"1798367578529878309","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Ya iyalah Bu...#consume terstruktur, dan sistematis #makangratis @KemenkeuRI 🇮🇩😮‍💨","","","","","","","",""
"1798450038592659936","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Biar jadi menteri lagi ya bu","","","","","","","",""
"1798385807100895594","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco sri... sri... 🤭🤭🤭","","","","","","","",""
"1798375886963740811","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco menjilat","","","","","","","",""
"1798582186154799186","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Sri kumpeni","","","","","","","",""
"1798504058095124767","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Banyak pabrik tutup kok dongkrak ekonomi?","","","","","","","",""
"1798527116679741633","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco cie cie... mentang2 dapat tambahan rp43 juta/ bulan dari hasil malakin duit rakyat Tapera","","","","","","","",""
"1798368151429877871","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco @YAnggodo Pajak dikurangi baru ekonomi akan berkembang,
Gimana produk lokal mau dieksport jika pajak dlm negeri sdh tinggi?upah saban tahun naik ?","","","","","","","",""
"1798375400835535244","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Cie jilat.","","","","","","","",""
"1798371690432569543","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Sri kok kd gini ?","","","","","","","",""
"1798372562575253789","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Sudah ketebak siapa menkeu periode selanjutnya","","","","","","","",""
"1798502900316156124","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Mulai puja puji","","","","","","","",""
"1798447721730457984","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Dongkrak eonomi para pemilik usaha catering","","","","","","","",""
"1798466918523036056","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Si Sri jadi begok gini","","","","","","","",""
"1798520377204990159","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Yakin 100℅ ga bakalan terealisasi, khayalan belaka. 
Defisit 600 T bro","","","","","","","",""
"1798428226060189834","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Lah kok dah ganti??","","","","","","","",""
"1798394971894194667","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Yang penting siapa pemegang proyek nya✅🥱","","","","","","","",""
"1798365891668873374","1798363964755349864","Sri Mulyani Yakin Program Makan Bergizi Gratis Prabowo Dongkrak Pertumbuhan Ekonomi, Ini Alasannya https://t.co/ya8K7e912I #TempoBisnis","@tempodotco Itu pasti sri terutama perputaran modal pengusaha kecil tapi yg terpenting itu sumber dananya bukan dari hurang lagikan.....","","","","","","","",""
